CFTR	IL13
CFTR	EGFR
CFTR	PROC
CFTR	ABCB5
CFTR	SRC
CFTR	TUBB3
CFTR	AVPR2
CFTR	PSMB5
CFTR	IL7R
CFTR	TP53
CFTR	PSMC3
CFTR	PSMB1
CFTR	ATP4A
CFTR	ARL13B
CFTR	SLC12A1
CFTR	SMN1
CFTR	IL6
CFTR	CISD1
CFTR	SALL3
CFTR	MTHFR
CFTR	ALB
CFTR	PDE3A
CFTR	CA6
CFTR	SNCA
CFTR	ELANE
CFTR	ABCB1
CFTR	CTNNB1
CFTR	SERPINA1
CFTR	PSMA3
CFTR	CA2
CFTR	HBB
CFTR	ABCG2
CFTR	HDAC6
CFTR	ANO1
CFTR	HSPA4
QPCTL	SLC39A8
QPCTL	FTO
QPCTL	GIPR
TTC17	LYPLAL1
ZPBP	DNAH17
ZPBP	IKZF1
HSD17B10	CA3
HSD17B10	ESR2
HSD17B10	WWOX
HSD17B10	ESR1
HSD17B10	HSD17B1
HSD17B10	APP
GPATCH1	PLRG1
DRD4	CUX2
DRD4	NR3C1
DRD4	DAO
DRD4	GRIN2B
DRD4	AVPR2
DRD4	ADCY1
DRD4	CHRM2
DRD4	SRC
DRD4	MTHFR
DRD4	TPH2
DRD4	MAOB
DRD4	MAOA
CA12	ESR1
CA12	CA7
CA12	SERPINE1
CA12	PSMC3
CA12	HIF1A
CA12	CA1
CA12	ALB
CA12	CA14
CA12	SLC2A1
CA12	CA4
CA12	CA9
CA12	CYP24A1
HSD17B2	F9
HSD17B2	HSD11B1
HSD17B2	ESR1
HSD17B2	ESR2
HSD17B2	HPGD
HSD17B2	UGT1A1
HSD17B2	CYP3A4
HSD17B2	CYP1B1
HSD17B2	CYP1A1
HSD17B2	CYP19A1
HSD17B2	HSD17B1
CBX5	MEF2D
CBX5	HDLBP
CBX5	MYC
CBX5	L3MBTL1
CBX5	PARP1
CBX5	BRD3
CBX5	KDM1A
CBX5	HNRNPA1
CBX5	INCENP
CBX5	AURKB
SERPIND1	HPR
SERPIND1	SERPINA1
SERPIND1	TTR
SERPIND1	SERPINA6
SERPIND1	C4BPA
SERPIND1	SELP
SERPIND1	MTHFR
SERPIND1	C4BPB
SERPIND1	SERPINA10
SERPIND1	F12
SERPIND1	ALB
SERPIND1	F9
SERPIND1	PLAT
SERPIND1	PI4KA
SERPIND1	F13A1
SERPIND1	F8
SERPIND1	VWF
SERPIND1	F5
SERPIND1	KLKB1
SERPIND1	F11
SERPIND1	F7
SERPIND1	PROC
SERPIND1	KNG1
SERPIND1	PROS1
SERPIND1	HABP2
SERPIND1	F13B
SERPIND1	F10
SERPIND1	SERPINC1
SERPIND1	THBD
SERPIND1	HRG
SERPIND1	TFPI
SERPIND1	FGB
SERPIND1	PLG
SERPIND1	FGA
SERPIND1	FGG
SERPIND1	F2
MAPK1	KDR
MAPK1	MMP2
MAPK1	IL2
MAPK1	PDE4D
MAPK1	ANK3
MAPK1	DDB2
MAPK1	LEPR
MAPK1	PTPRJ
MAPK1	MEF2D
MAPK1	FOSL2
MAPK1	ALK
MAPK1	TAB1
MAPK1	HNF4A
MAPK1	HNRNPA1
MAPK1	LMNA
MAPK1	MMP3
MAPK1	MAP3K2
MAPK1	ERCC3
MAPK1	APEX1
MAPK1	AR
MAPK1	FGB
MAPK1	IL4
MAPK1	FGA
MAPK1	FGG
MAPK1	PKM
MAPK1	IL6R
MAPK1	PTK2
MAPK1	DUSP22
MAPK1	PTPN1
MAPK1	ALB
MAPK1	DCC
MAPK1	VWF
MAPK1	PARP1
MAPK1	EGFR
MAPK1	SNCA
MAPK1	HDAC6
MAPK1	CSNK2A1
MAPK1	NEK2
MAPK1	PIK3R1
MAPK1	MMP9
MAPK1	HSPA4
MAPK1	CDK1
MAPK1	PLA2G1B
MAPK1	PPARG
MAPK1	CTNNB1
MAPK1	MCL1
MAPK1	GSK3B
MAPK1	JAK1
MAPK1	PTGS2
MAPK1	NFKB1
MAPK1	JAK2
MAPK1	CREBBP
MAPK1	SH3GL2
MAPK1	SMAD4
MAPK1	PIK3CA
MAPK1	APP
MAPK1	CREB3L1
MAPK1	ATP1B1
MAPK1	DAPK2
MAPK1	NFATC2
MAPK1	DAPK3
MAPK1	SPHK1
MAPK1	PRKCA
MAPK1	MITF
MAPK1	SRC
MAPK1	IL6
MAPK1	FOXO1
MAPK1	ESR2
MAPK1	BRAF
MAPK1	MAPT
MAPK1	DAPK1
MAPK1	SMAD3
MAPK1	CREB1
MAPK1	BCL2
MAPK1	MKNK2
MAPK1	MYC
MAPK1	HIF1A
MAPK1	ESR1
MAPK1	AKT1
MAPK1	IQGAP1
MAPK1	RPS6KA3
MAPK1	RPS6KA2
MAPK1	ETS1
MAPK1	TP53
MAPK1	RPS6KA1
MAPK1	MKNK1
TAB1	AKT1
TAB1	IL6
TAB1	TP53
TAB1	TAOK1
TAB1	USP2
TAB1	BCL2
TAB1	HSPA4
TAB1	MYC
TAB1	TNFAIP3
TAB1	TRAF1
TAB1	SMAD3
TAB1	SRC
TAB1	PRKCQ
TAB1	SMAD7
TAB1	IL1R1
TAB1	NOD2
TAB1	NFKB1
TAB1	EGFR
TAB1	GSK3B
TAB1	TRAF3
TAB1	TLR3
PYGL	GCKR
PYGL	AKT1
PYGL	PNLIP
PYGL	AKR1B1
PYGL	GSK3B
PYGL	SLC2A1
PYGL	ALKBH2
PYGL	IDH1
PYGL	AMY1A
PYGL	IL6
PYGL	HK1
PYGL	SSTR4
PYGL	PKM
PYGL	PC
PYGL	PPP1R3B
PYGL	H6PD
PYGL	ENPP1
PSMA3	TNFRSF11A
PSMA3	ANAPC1
PSMA3	SUFU
PSMA3	AURKA
PSMA3	TRAF3
PSMA3	RUNX3
PSMA3	PRDX1
PSMA3	GSK3B
PSMA3	AMBRA1
PSMA3	TUBB4B
PSMA3	TNKS
PSMA3	TNKS2
PSMA3	HIF1A
PSMA3	CTNNB1
PSMA3	CDK2
PSMA3	TP53
PSMA3	CDK1
PSMA3	SORT1
PSMA3	RPS26
PSMA3	ZNF366
PSMA3	ARID4A
PSMA3	HNRNPA1
PSMA3	CSNK2A1
PSMA3	NFKB1
PSMA3	HSPA4
PSMA3	EIF2S2
PSMA3	AURKB
PSMA3	ELAVL1
PSMA3	SNCA
PSMA3	UBQLN4
PSMA3	PSMB1
PSMA3	PSMB5
PSMA3	PSMC3
APEX1	FBH1
APEX1	CDK4
APEX1	MCL1
APEX1	RAD51B
APEX1	ABCB1
APEX1	VWF
APEX1	KDM1A
APEX1	BLM
APEX1	MYC
APEX1	POLI
APEX1	PKM
APEX1	DDB2
APEX1	ALKBH2
APEX1	GLO1
APEX1	POLE4
APEX1	ERCC3
APEX1	PRDX1
APEX1	CREB1
APEX1	BCL2
APEX1	ALB
APEX1	ESR1
APEX1	SIRT6
APEX1	HIF1A
APEX1	TDP1
APEX1	TDG
APEX1	TP53
APEX1	PARP1
APEX1	POLB
CYP24A1	CYP1A1
CYP24A1	ALB
CYP24A1	CYP3A4
CYP24A1	TP53
CYP24A1	ACHE
