gene,max_assoc_score,top_disease
IL1F10,0.14554,venous thromboembolism
PARP10,0.14362,venous thromboembolism
H6PD,0.14339,venous thromboembolism
RAB4B,0.14331,venous thromboembolism
CBLN1,0.14228,deep vein thrombosis
ATF1,0.14216,venous thromboembolism
FCHO2,0.14113,venous thromboembolism
MYH7B,0.14038,deep vein thrombosis
PRRX1,0.13991,deep vein thrombosis
GALC,0.13881,thrombophilia
RPS26,0.13604,deep vein thrombosis
MAP1LC3A,0.13385,deep vein thrombosis
SLC39A13,0.13344,deep vein thrombosis
TPRG1,0.1322,deep vein thrombosis
DCST2,0.13035,venous thromboembolism
SCRN2,0.13022,pulmonary embolism
BRD10,0.13013,deep vein thrombosis
APOC1,0.13006,venous thromboembolism
PDE4B,0.12943,venous thromboembolism
SLC43A3,0.12912,deep vein thrombosis
CEP57,0.12906,deep vein thrombosis
MMP24,0.12851,deep vein thrombosis
TAOK1,0.12815,venous thromboembolism
ARID4A,0.1268,venous thromboembolism
SPATA12,0.12671,thrombophilia
GRINA,0.12611,venous thromboembolism
OR9Q1,0.12592,deep vein thrombosis
LMAN2,0.1252,deep vein thrombosis
ORMDL3,0.12499,deep vein thrombosis
NSUN6,0.12483,venous thromboembolism
CLEC16A,0.12471,deep vein thrombosis
GNA12,0.1243,deep vein thrombosis
PSMC3,0.12415,venous thromboembolism
PHF19,0.12406,deep vein thrombosis
FASLG,0.12405,venous thromboembolism
ZNF444,0.12362,venous thromboembolism
CCDC6,0.12354,deep vein thrombosis
NUP160,0.12353,deep vein thrombosis
HSD3B7,0.1233,venous thromboembolism
KRTAP3-2,0.12316,thrombophilia
WNT7B,0.12307,thrombophilia
GJD3,0.12286,venous thromboembolism
LNPEP,0.12209,venous thromboembolism
ADAD1,0.12183,deep vein thrombosis
TMEM232,0.12148,deep vein thrombosis
APOLTP,0.12049,deep vein thrombosis
CREB3L1,0.1203,pulmonary embolism
INTS10,0.12027,venous thromboembolism
F12,0.11939,thrombotic disease
KYNU,0.11916,deep vein thrombosis
F13B,0.11864,thrombotic disease
GRK6,0.11827,thrombotic disease
MYO19,0.11812,deep vein thrombosis
TRAF1,0.11758,deep vein thrombosis
IL37,0.11676,deep vein thrombosis
RTEL1,0.11665,deep vein thrombosis
TSPO2,0.11613,deep vein thrombosis
ARHGAP6,0.11505,venous thromboembolism
BANP,0.11483,pulmonary embolism
SERPINA6,0.11431,venous thromboembolism
TTLL7,0.1138,thrombophilia
WDR36,0.11293,deep vein thrombosis
PIGC,0.1129,venous thromboembolism
EIPR1,0.11251,thrombophilia
SKIDA1,0.11245,venous thromboembolism
RDH13,0.11154,deep vein thrombosis
ALB,0.11149,deep vein thrombosis
ANAPC1,0.1114,deep vein thrombosis
ILRUN,0.11113,venous thromboembolism
MT-CYB,0.11087,venous thromboembolism
HNRNPA1,0.11046,deep vein thrombosis
SEC23IP,0.10976,venous thromboembolism
SP6,0.1096,pulmonary embolism
UBQLN4,0.10953,deep vein thrombosis
SUCO,0.10947,venous thromboembolism
NAP1L5,0.10904,thrombophilia
OR4C15,0.10879,venous thromboembolism
ZNF408,0.10859,deep vein thrombosis
IL6,0.10835,deep vein thrombosis
RAI1,0.10627,deep vein thrombosis
PLEC,0.10618,venous thromboembolism
SULT1A2,0.10575,deep vein thrombosis
SPMIP7,0.10571,deep vein thrombosis
TAB1,0.10549,venous thromboembolism
CRP,0.10432,deep vein thrombosis
EGR2,0.10365,deep vein thrombosis
PRMT2IP,0.10336,deep vein thrombosis
IKZF1,0.10321,deep vein thrombosis
PSMA3,0.10298,venous thromboembolism
LEPR,0.10295,venous thromboembolism
GUCY1A2,0.10292,pulmonary embolism
GUCY1B1,0.10292,pulmonary embolism
GUCY1A1,0.10292,pulmonary embolism
STH,0.1023,venous thromboembolism
PCP4L1,0.10182,deep vein thrombosis
OR4C12,0.10075,venous thromboembolism
CAMK4,0.09992,deep vein thrombosis
MTRFR,0.09974,venous thromboembolism
TF,0.0997,deep vein thrombosis
SCGN,0.09945,venous thromboembolism
UBE2L3,0.09935,deep vein thrombosis
VEGFA,0.09911,deep vein thrombosis
CSRNP1,0.09863,venous thromboembolism
ICE2,0.09845,deep vein thrombosis
SIK2,0.09809,deep vein thrombosis
SAMD5,0.09799,venous thromboembolism
OTULIN,0.09787,deep vein thrombosis
SPMAP2L,0.09779,venous thromboembolism
ZNF787,0.09707,venous thromboembolism
HMSD,0.0968,venous thromboembolism
RERE,0.09679,deep vein thrombosis
VKORC1L1,0.09646,pulmonary embolism
OTULINL,0.09604,deep vein thrombosis
PLCL1,0.09541,venous thromboembolism
PRXL2B,0.09524,deep vein thrombosis
LEP,0.09507,deep vein thrombosis
IFNG,0.09505,deep vein thrombosis
SIRT1,0.09446,deep vein thrombosis
SOX1,0.09432,thrombophilia
CAMLG,0.09421,pulmonary embolism
RFTN2,0.09415,venous thromboembolism
PITPNM2,0.09351,venous thromboembolism
TAPT1,0.09346,thrombophilia
ATOH1,0.09346,thrombophilia
VPS45,0.0933,deep vein thrombosis
OR5G3,0.09322,venous thromboembolism
CDON,0.09292,thrombophilia
GPR152,0.09239,deep vein thrombosis
TPD52L3,0.09149,deep vein thrombosis
CSTF2T,0.09018,venous thromboembolism
SARAF,0.08935,pulmonary embolism
KLF15,0.08894,deep vein thrombosis
IP6K3,0.08885,deep vein thrombosis
MGAT3,0.08837,venous thromboembolism
TYMS,0.08778,thrombotic disease
ADH5,0.08764,venous thromboembolism
XCL2,0.08703,thrombophilia
OR4X2,0.08693,thrombophilia
AMELX,0.08683,venous thromboembolism
SELL,0.08678,deep vein thrombosis
FN1,0.0859,deep vein thrombosis
HINT1,0.08589,venous thromboembolism
PSMG1,0.08574,venous thromboembolism
SLU7,0.08547,deep vein thrombosis
BRCC3,0.08515,venous thromboembolism
ZNF627,0.08512,thrombophilia
GP1BA,0.08509,thrombophilia
HSPD1,0.08502,deep vein thrombosis
NXT1,0.08488,venous thromboembolism
CAPRIN2,0.08461,thrombophilia
TNN,0.08402,venous thromboembolism
HSPE1,0.08377,deep vein thrombosis
BLTP3A,0.08344,venous thromboembolism
CDC42SE2,0.08277,venous thromboembolism
ARHGAP27,0.0827,deep vein thrombosis
CD79A,0.08246,deep vein thrombosis
METTL18,0.08231,deep vein thrombosis
RAPSN,0.08225,venous thromboembolism
NFKBIA,0.08167,deep vein thrombosis
EPO,0.08164,deep vein thrombosis
OR5L1,0.08104,pulmonary embolism
FBN1,0.0803,thrombophilia
ZNF804B,0.08012,thrombophilia
PDCD1,0.08,deep vein thrombosis
MDM2,0.07998,deep vein thrombosis
HMOX1,0.07997,deep vein thrombosis
NAT10,0.07956,deep vein thrombosis
ZNF160,0.07948,thrombophilia
TAS2R5,0.07936,venous thromboembolism
PLAU,0.07919,pulmonary embolism
MIF,0.07914,deep vein thrombosis
THEMIS,0.07896,deep vein thrombosis
TFRC,0.07895,deep vein thrombosis
C4A,0.07876,deep vein thrombosis
